q_id,config,subset,target_chapter,recall_at_10,synopsis_recall_at_10,hedged,faithfulness
1,H,summarisation,2,1,1,0,1.0
1,N,summarisation,2,1,1,0,0.67
2,H,summarisation,3,1,1,1,0.96
2,N,summarisation,3,1,1,0,0.89
3,H,summarisation,4,1,1,0,0.89
3,N,summarisation,4,1,1,0,1.0
4,H,summarisation,5,1,1,0,0.25
4,N,summarisation,5,1,1,1,0.92
5,H,summarisation,6,1,1,0,1.0
5,N,summarisation,6,1,1,0,1.0
6,H,summarisation,7,1,1,0,0.89
6,N,summarisation,7,1,1,0,0.92
7,H,summarisation,8,1,1,0,1.0
7,N,summarisation,8,1,1,0,0.92
8,H,summarisation,9,1,1,0,1.0
8,N,summarisation,9,1,1,0,1.0
9,H,summarisation,10,1,1,0,0.89
9,N,summarisation,10,1,1,0,0.92
10,H,summarisation,11,1,1,1,0.89
10,N,summarisation,11,1,1,0,0.5
11,H,summarisation,12,1,1,0,1.0
11,N,summarisation,12,1,1,0,1.0
12,H,summarisation,15,1,1,0,1.0
12,N,summarisation,15,1,1,0,0.92
13,H,summarisation,16,1,1,1,0.33
13,N,summarisation,16,1,0,0,0.33
14,H,summarisation,1,1,1,0,1.0
14,N,summarisation,1,1,1,0,1.0
15,H,summarisation,13,1,1,1,1.0
15,N,summarisation,13,1,0,0,0.89
16,H,control,,1,,0,0.92
16,N,control,,0,,0,1.0
17,H,control,,1,,0,1.0
17,N,control,,0,,0,1.0
18,H,control,,1,,0,1.0
18,N,control,,1,,0,1.0
19,H,control,,1,,0,1.0
19,N,control,,0,,0,1.0
20,H,control,,1,,0,1.0
20,N,control,,0,,0,1.0
21,H,control,,1,,0,1.0
21,N,control,,0,,0,1.0
22,H,control,,1,,0,0.92
22,N,control,,1,,0,0.92
23,H,control,,1,,0,1.0
23,N,control,,0,,0,1.0
24,H,control,,1,,0,1.0
24,N,control,,0,,0,1.0
25,H,control,,1,,0,1.0
25,N,control,,1,,0,1.0
