q_id,config,subset,target_chapter,topk_chunk_ids,topk_sections,synopsis_in_topk,recall_at_10,synopsis_recall_at_10
1,H,summarisation,2,"tutorial_edit-chapter-27-eac725afe3,tutorial_edit-chapter-26-ea7475e702,tutorial_edit-section-1-c24f1987f5,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-23-3fac4f8c17,tutorial_edit-synopsis-20-165a79646c,tutorial_edit-section-15-99287fea96,tutorial_edit-synopsis-19-111b6e3a4e","chapter,chapter,section,chapter,synopsis,card,synopsis,synopsis,section,synopsis",4,1,1
1,N,summarisation,2,"tutorial_edit-chapter-23-eac725afe3,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-section-1-c24f1987f5,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-synopsis-23-1eaffa3613-naive,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-20-c922f19edf-naive,tutorial_edit-synopsis-19-111b6e3a4e-naive,tutorial_edit-section-15-667276247b,tutorial_edit-section-46-2c56810672","chapter,chapter,section,synopsis,synopsis,card,synopsis,synopsis,section,section",4,1,1
2,H,summarisation,3,"tutorial_edit-synopsis-23-3fac4f8c17,tutorial_edit-chapter-26-ea7475e702,tutorial_edit-section-8-12ba188b71,tutorial_edit-chapter-98-61558d5393,tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-section-1-c24f1987f5,tutorial_edit-section-234-7041e73b8f,tutorial_edit-card-8a49cb24c0,tutorial_edit-chapter-268-3727ef8e40,tutorial_edit-synopsis-101-d9e0d77edd","synopsis,chapter,section,chapter,synopsis,section,section,card,chapter,synopsis",3,1,1
2,N,summarisation,3,"tutorial_edit-synopsis-23-1eaffa3613-naive,tutorial_edit-section-8-12ba188b71,tutorial_edit-synopsis-55-d1c855a156-naive,tutorial_edit-chapter-72-61558d5393,tutorial_edit-index-17-39e8996f7b,tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-synopsis-52-1d95241b8a-naive,tutorial_edit-section-1-c24f1987f5,tutorial_edit-card-8a49cb24c0,tutorial_edit-section-163-6d80f0be55","synopsis,section,synopsis,chapter,index,synopsis,synopsis,section,card,section",4,1,1
3,H,summarisation,4,"tutorial_edit-chapter-26-ea7475e702,tutorial_edit-synopsis-28-858d562b51,tutorial_edit-synopsis-23-3fac4f8c17,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-synopsis-47-6b7f374523,tutorial_edit-synopsis-19-111b6e3a4e,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-synopsis-38-79f993d4e7","chapter,synopsis,synopsis,card,synopsis,synopsis,synopsis,chapter,synopsis,synopsis",7,1,1
3,N,summarisation,4,"tutorial_edit-synopsis-23-1eaffa3613-naive,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-28-fa162deff6-naive,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-synopsis-63-f1e11ab608-naive,tutorial_edit-chapter-22-95124ae1cd,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-synopsis-19-111b6e3a4e-naive,tutorial_edit-index-16-c0fbbb8263,tutorial_edit-synopsis-47-dd96efeb87-naive","synopsis,card,synopsis,synopsis,synopsis,chapter,chapter,synopsis,index,synopsis",6,1,1
4,H,summarisation,5,"tutorial_edit-chapter-98-61558d5393,tutorial_edit-synopsis-38-79f993d4e7,tutorial_edit-section-3-33c91800a8,tutorial_edit-section-4-03b37f37b2,tutorial_edit-synopsis-63-d3eafcadcb,tutorial_edit-section-113-f83435b144,tutorial_edit-section-8-12ba188b71,tutorial_edit-section-9-f0d80f9fba,tutorial_edit-section-13-7a42025e88,tutorial_edit-section-54-1c64a0aa9f","chapter,synopsis,section,section,synopsis,section,section,section,section,section",2,1,1
4,N,summarisation,5,"tutorial_edit-synopsis-38-219ce1b27a-naive,tutorial_edit-chapter-72-61558d5393,tutorial_edit-section-3-33c91800a8,tutorial_edit-section-4-03b37f37b2,tutorial_edit-synopsis-76-a2f0acf8f8-naive,tutorial_edit-section-8-12ba188b71,tutorial_edit-section-9-f0d80f9fba,tutorial_edit-section-13-7a42025e88,tutorial_edit-section-210-7585431bc0,tutorial_edit-synopsis-63-f1e11ab608-naive","synopsis,chapter,section,section,synopsis,section,section,section,section,synopsis",3,1,1
5,H,summarisation,6,"tutorial_edit-synopsis-47-6b7f374523,tutorial_edit-synopsis-101-d9e0d77edd,tutorial_edit-chapter-26-ea7475e702,tutorial_edit-card-8a49cb24c0,tutorial_edit-chapter-323-ed0bbe2649,tutorial_edit-synopsis-76-a041572cac,tutorial_edit-synopsis-86-cb10c02edb,tutorial_edit-section-5-4102619fe6,tutorial_edit-chapter-132-e4fcfe463f,tutorial_edit-chapter-27-eac725afe3","synopsis,synopsis,chapter,card,chapter,synopsis,synopsis,section,chapter,chapter",4,1,1
5,N,summarisation,6,"tutorial_edit-synopsis-47-dd96efeb87-naive,tutorial_edit-chapter-222-bb1112d506,tutorial_edit-card-8a49cb24c0,tutorial_edit-synopsis-101-d9e0d77edd-naive,tutorial_edit-synopsis-23-1eaffa3613-naive,tutorial_edit-section-5-4102619fe6,tutorial_edit-chapter-23-eac725afe3,tutorial_edit-glossary-18-4bfdf3b0de,tutorial_edit-section-1-c24f1987f5,tutorial_edit-body-0-e07110dc5a","synopsis,chapter,card,synopsis,synopsis,section,chapter,glossary,section,body",3,1,1
